loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),deviceID(txt),label(N)
2026-01-15T14:10:31.014+02:00,11,1768479029.999759,32.06729287764185,34.76243494269089,6.956263,0.007172992,0.8440121,-1,-1,3,3.126172366920282,-9999,1768479030.998904,-113.572265625,-421.4423217773438,-50.47640991210938,51.90913009643555,46.91794204711914,75.43868255615234,108174.0010955417,-1.188359796319569,1.52292529631709,1.560117981822749,0.06201646849513054,-0.04662449285387993,0.01117386296391487,0.02437683567404747,0.01785677671432495,-0.01859265565872192,XArbitraryCorrectedZVertical,0.6964197098526604,0.1214246212956359,0.1140434120029388,0.6980328220422858,0.01067258231341839,-0.99994295835495,-0.0005112981307320297,-113.490234375,-420.9638061523438,-51.47061538696289,-1,2,my_iOS_device,0
2026-01-15T14:10:31.114+02:00,12,1768479030.999769,32.06729206144367,34.76243502309777,6.970495,0.02709725,0.9797416,-1,-1,3,3.105445954789984,-9999,1768479031.103881,-172.812744140625,-457.0001220703125,-41.06938552856445,51.92493057250977,46.93374252319336,75.46368408203125,108174.1010895417,-1.181348809611336,1.5207113747303,1.560630208193618,-0.02983714081346989,0.1580064594745636,0.01695593632757664,0.04406511411070824,-0.01306736469268799,0.02994304895401001,XArbitraryCorrectedZVertical,0.6961594960484764,0.1229128906256191,0.1158999433242943,0.6977259786448609,0.01014934107661247,-0.9999483227729797,-0.0005087547469884157,-173.3465576171875,-455.9646606445312,-41.86316680908203,-1,2,my_iOS_device,0
2026-01-15T14:10:31.214+02:00,13,1768479030.999769,32.06729206144367,34.76243502309777,6.970495,0.02709725,0.9797416,-1,-1,3,3.105445954789984,-9999,1768479031.203993,-173.4871826171875,-458.453125,-39.79477310180664,52.28725814819336,47.29607009887695,75.48867797851562,108174.2010835417,-1.558802100410351,1.883970473159337,1.560266392361459,0.08545809984207153,-0.1452523916959763,0.005060940980911255,0.02594578452408314,0.005056262016296387,0.06715965270996094,XArbitraryCorrectedZVertical,0.6983305752398702,0.1181383293077675,0.1107756796905198,0.6972133884908668,0.0100191617384553,-0.9999445676803589,0.003244514344260097,-173.1671142578125,-459.9622192382812,-38.44656372070312,-1,2,my_iOS_device,0
2026-01-15T14:10:31.314+02:00,14,1768479030.999769,32.06729206144367,34.76243502309777,6.970495,0.02709725,0.9797416,-1,-1,3,3.105445954789984,-9999,1768479031.303938,-169.9078369140625,-465.9812622070312,-30.96659088134766,52.77434158325195,47.78315353393555,75.51367950439453,108174.3010785417,-1.663054275445142,1.985081394946447,1.560875851006098,0.03678116202354431,0.1387844979763031,0.115772657096386,0.01533352211117744,0.02186232805252075,-0.04747200012207031,XArbitraryCorrectedZVertical,0.6988321562879418,0.116762515839025,0.1099605333401399,0.6970717122028132,0.009095780551433563,-0.9999507665634155,0.003999735694378614,-170.2173461914062,-466.7141723632812,-30.72014236450195,-1,2,my_iOS_device,0
2026-01-15T14:10:31.411+02:00,15,1768479030.999769,32.06729206144367,34.76243502309777,6.970495,0.02709725,0.9797416,-1,-1,3,3.105445954789984,-9999,1768479031.393393,-169.7443237304688,-467.4940185546875,-28.76065635681152,52.40990447998047,47.41871643066406,75.53617858886719,108174.3998225417,-1.664338609133005,1.988859169755354,1.560658026907452,0.02256283536553383,-0.0650472491979599,-0.001473961980082095,-0.00886810477823019,-0.02403819561004639,-0.01026511192321777,XArbitraryCorrectedZVertical,0.6987166446436562,0.1176987763214935,0.1107633575973383,0.6969028089159336,0.009264812804758549,-0.9999486207962036,0.004115902818739414,-169.2196655273438,-468.7551879882812,-27.42466735839844,-1,2,my_iOS_device,0
2026-01-15T14:10:31.510+02:00,16,1768479030.999769,32.06729206144367,34.76243502309777,6.970495,0.02709725,0.9797416,-1,-1,3,3.105445954789984,-9999,1768479031.49315,-181.4652709960938,-502.5428466796875,-22.89984703063965,52.60955047607422,47.61836242675781,75.56117248535156,108174.4998165417,-1.697073168052811,2.018320031981867,1.560689177110089,0.00959428958594799,-0.05751419812440872,-0.02580423094332218,-0.007921388372778893,-0.009481132030487061,-0.00813448429107666,XArbitraryCorrectedZVertical,0.6990085927612075,0.1165222871496193,0.109656220295332,0.6969829456390648,0.009126813150942326,-0.9999489188194275,0.004380912519991398,-181.1295166015625,-503.2801513671875,-21.56882858276367,-1,2,my_iOS_device,0
2026-01-15T14:10:31.612+02:00,17,1768479030.999769,32.06729206144367,34.76243502309777,6.970495,0.02709725,0.9797416,-1,-1,3,3.105445954789984,-9999,1768479031.592849,-181.1824951171875,-505.597412109375,-17.9578971862793,52.85077667236328,47.85958862304688,75.58617401123047,108174.5998115417,-1.846326519787103,2.163256545612746,1.560375818658569,0.00710367551073432,-0.07999720424413681,-0.007894750684499741,0.02808668091893196,0.01500600576400757,-0.007429003249853849,XArbitraryCorrectedZVertical,0.699788957667855,0.114929781868439,0.1082351701688629,0.6966863418722207,0.008656464517116547,-0.9999457001686096,0.005826880224049091,-180.6188354492188,-506.0659790039062,-17.14802551269531,-1,2,my_iOS_device,0
2026-01-15T14:10:31.709+02:00,18,1768479030.999769,32.06729206144367,34.76243502309777,6.970495,0.02709725,0.9797416,-1,-1,3,3.105445954789984,-9999,1768479031.694237,-178.4967041015625,-509.432861328125,-10.29741668701172,53.06543350219727,48.07424545288086,75.60867309570312,108174.6985556667,-2.068371170805531,2.385623824107575,1.559842276436949,-0.01537294313311577,0.009936054237186909,-0.03481990844011307,-0.007548234425485134,0.008607029914855957,0.01161861419677734,XArbitraryCorrectedZVertical,0.7005825954620052,0.114764510556258,0.1086247127023295,0.695854769537999,0.007517697755247355,-0.9999399781227112,0.007973731495440006,-178.4237060546875,-509.4972534179688,-10.05658721923828,-1,2,my_iOS_device,0
2026-01-15T14:10:31.809+02:00,19,1768479030.999769,32.06729206144367,34.76243502309777,6.970495,0.02709725,0.9797416,-1,-1,3,3.105445954789984,-9999,1768479031.791543,-177.2392578125,-510.6904296875,-6.556371688842773,53.09682846069336,48.10564041137695,75.6336669921875,108174.7985496667,-1.985889854415011,2.301138066663571,1.560526223474079,-0.005572404246777296,-0.02528117969632149,0.02359176054596901,-0.01166795380413532,-0.01216822862625122,-0.01414883136749268,XArbitraryCorrectedZVertical,0.7003003444254522,0.1140483391893916,0.1079416539333359,0.6963627377848217,0.007654872722923756,-0.9999472498893738,0.006855192128568888,-176.8929443359375,-511.39990234375,-5.147315979003906,-1,2,my_iOS_device,0
2026-01-15T14:10:32.256+02:00,20,1768479031.999789,32.06729177453812,34.76243654671012,7.042243,0.02358991,0.5585414,-1,-1,3,3.122441885092675,-9999,1768479032.251661,-199.0417175292969,-572.148193359375,-3.433000564575195,53.20666885375977,48.21548080444336,75.74616241455078,108174.8985436667,-2.004764652567065,2.319060157336147,1.560606483852385,0.01862895488739014,-0.02094577625393867,0.001890492625534534,-0.01897745206952095,-0.009252965450286865,-0.02640712261199951,XArbitraryCorrectedZVertical,0.7003933912719523,0.113655566951895,0.1076692132404948,0.6963755549434031,0.007472306024283171,-0.9999480843544006,0.006936980877071619,-176.0089111328125,-513.7742919921875,-0.9714679718017578,-1,2,my_iOS_device,0
2026-01-15T14:10:32.258+02:00,21,1768479031.999789,32.06729177453812,34.76243654671012,7.042243,0.02358991,0.5585414,-1,-1,3,3.122441885092675,-9999,1768479032.251661,-199.0417175292969,-572.148193359375,-3.433000564575195,53.20666885375977,48.21548080444336,75.74616241455078,108174.9985386667,-2.037958800594696,2.351284409397705,1.558962315624614,-0.009418008849024773,0.00581788457930088,0.002879559062421322,0.008264760486781597,-0.01181930303573608,-0.0167841911315918,XArbitraryCorrectedZVertical,0.7008801591119191,0.1137208597304861,0.1069255556397837,0.6959896310334586,0.008413077332079411,-0.9999299645423889,0.00833086296916008,-200.4774475097656,-577.4341430664062,3.449060440063477,-1,2,my_iOS_device,0
