loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),deviceID(txt),label(N)
2026-01-15T14:06:42.608+02:00,1,1768478802.000345,32.06763941422179,34.76256962907742,6.671583,0.009358347,1.298375,197.4723116511848,180,3.788767027699019,4.395888304255075,-9999,1768478802.588267,52.870361328125,-415.753662109375,143.0191650390625,328.107177734375,323.1159973144531,40.18643569946289,107945.597300125,2.721998743639928,-2.877969807115615,1.499155630576774,0.2097116261720657,-0.4819211065769196,-0.04139155894517899,-0.006660640239715576,0.003034532070159912,-0.04272913187742233,XArbitraryCorrectedZVertical,0.7283673813635737,-0.06353725271900221,-0.04656907538452038,0.6806435775684497,-0.01865365542471409,-0.9974349141120911,0.06911204755306244,54.6163330078125,-415.5787963867188,145.3360900878906,-1,2,my_iOS_device,0
2026-01-15T14:06:42.708+02:00,2,1768478802.000345,32.06763941422179,34.76256962907742,6.671583,0.009358347,1.298375,197.4723116511848,180,3.788767027699019,4.395888304255075,-9999,1768478802.688126,25.73095703125,-387.2033081054688,163.7109985351562,329.2307434082031,324.2395629882812,40.21143341064453,107945.697294125,2.871251603476464,-3.037881746370652,1.488364305735185,0.07152976095676422,-0.01687637716531754,-0.1054885759949684,0.03422028943896294,-0.02373576164245605,0.04146838188171387,XArbitraryCorrectedZVertical,0.7326844592161169,-0.06421238566682375,-0.05337705623761011,0.6754268196089368,-0.008524456061422825,-0.9966043829917908,0.081899493932724,27.0264892578125,-386.0830688476562,165.4666137695312,-1,2,my_iOS_device,0
2026-01-15T14:06:42.808+02:00,3,1768478802.000345,32.06763941422179,34.76256962907742,6.671583,0.009358347,1.298375,197.4723116511848,180,3.788767027699019,4.395888304255075,-9999,1768478802.786096,26.763671875,-385.929443359375,165.1991577148438,328.8115844726562,323.8204040527344,40.23643493652344,107945.797289125,2.792584889930574,-2.951886582401787,1.490494426670893,-0.03810452297329903,-0.0339045524597168,-0.03230410069227219,0.004491610452532768,0.01655268669128418,-0.005354166030883789,XArbitraryCorrectedZVertical,0.7316579267209394,-0.06377043106815825,-0.0486634782362456,0.6769358442486242,-0.01512694172561169,-0.9967775344848633,0.07877998054027557,26.799072265625,-385.1394653320312,165.2997131347656,-1,2,my_iOS_device,0
2026-01-15T14:06:42.908+02:00,4,1768478802.000345,32.06763941422179,34.76256962907742,6.671583,0.009358347,1.298375,197.4723116511848,180,3.788767027699019,4.395888304255075,-9999,1768478802.887814,28.9281005859375,-381.5287475585938,166.7738037109375,328.7208862304688,323.7297058105469,40.26143264770508,107945.897283125,2.809292407026042,-2.964913698778016,1.491170098684306,0.05926840379834175,0.04106413945555687,0.1177455931901932,-0.00519914273172617,0.006734251976013184,0.006714701652526855,XArbitraryCorrectedZVertical,0.7316481042863547,-0.06200738748441504,-0.04783575755723782,0.6771692293225927,-0.01398110669106245,-0.9968315362930298,0.07830773293972015,28.463134765625,-382.716796875,167.6062927246094,-1,2,my_iOS_device,0
2026-01-15T14:06:43.013+02:00,5,1768478802.000345,32.06763941422179,34.76256962907742,6.671583,0.009358347,1.298375,197.4723116511848,180,3.788767027699019,4.395888304255075,-9999,1768478803.008111,27.84912109375,-379.6715698242188,172.4795227050781,328.7286987304688,323.7375183105469,40.29143142700195,107945.997277125,2.883644467695227,-3.040048952025277,1.484895325004016,-0.2451652437448502,0.2301946133375168,0.07825054228305817,-0.005065995268523693,-0.03753143548965454,0.03750717639923096,XArbitraryCorrectedZVertical,0.7341688929615264,-0.06061843864504356,-0.04976202747823959,0.6744223255619164,-0.008697391487658024,-0.9963127970695496,0.08535711467266083,27.84912109375,-379.6715698242188,172.4795227050781,-1,2,my_iOS_device,0
2026-01-15T14:06:43.109+02:00,6,1768478803.000351,32.06763947234855,34.76256955492133,6.699205,0.0391482,1.326404,197.4723116310613,180,3.811306989658655,4.468859597402696,-9999,1768478803.102653,61.0775146484375,-424.6036376953125,173.3362121582031,328.3990173339844,323.4078369140625,40.31642913818359,107946.097272125,2.801709983961118,-2.955030343128474,1.488937367178792,-0.02774406597018242,0.0561053492128849,0.0863054171204567,-0.02880847454071045,-0.004447519779205322,0.03276050835847855,XArbitraryCorrectedZVertical,0.7323780150965202,-0.06163747223077008,-0.04658000702804042,0.6765012450234857,-0.01516730710864067,-0.9966514110565186,0.08035346865653992,60.746337890625,-425.2131958007812,173.4797973632812,-1,2,my_iOS_device,0
2026-01-15T14:06:43.209+02:00,7,1768478803.000351,32.06763947234855,34.76256955492133,6.699205,0.0391482,1.326404,197.4723116310613,180,3.811306989658655,4.468859597402696,-9999,1768478803.20267,58.24798583984375,-429.959716796875,173.7164764404297,327.6510620117188,322.6598815917969,40.34142684936523,107946.197266125,2.777011284404761,-2.914726426238847,1.497636859380401,0.04863391071557999,0.07929503172636032,-0.1239477694034576,-0.00328773632645607,-0.01529431343078613,-0.04961907118558884,XArbitraryCorrectedZVertical,0.729698268580331,-0.05615581154379665,-0.04108191022970814,0.6802202405509618,-0.01644184254109859,-0.99732506275177,0.07122607529163361,58.24798583984375,-429.959716796875,173.7164764404297,-1,2,my_iOS_device,0
2026-01-15T14:06:43.308+02:00,8,1768478803.000351,32.06763947234855,34.76256955492133,6.699205,0.0391482,1.326404,197.4723116310613,180,3.811306989658655,4.468859597402696,-9999,1768478803.302651,61.98553466796875,-419.6415405273438,181.9045257568359,328.3534545898438,323.3622741699219,40.36642456054688,107946.297260125,2.879749702183946,-3.026953258633699,1.483486017777134,-0.04468455165624619,0.3163681924343109,0.2534567713737488,0.02991818264126778,-0.0007269978523254395,-0.00145459920167923,XArbitraryCorrectedZVertical,0.73483530469472,-0.05772280142930027,-0.04617305356115613,0.6742057664706731,-0.00997491180896759,-0.9961908459663391,0.08662969619035721,61.98553466796875,-419.6415405273438,181.9045257568359,-1,2,my_iOS_device,0
2026-01-15T14:06:43.409+02:00,9,1768478803.000351,32.06763947234855,34.76256955492133,6.699205,0.0391482,1.326404,197.4723116310613,180,3.811306989658655,4.468859597402696,-9999,1768478803.402599,59.44415283203125,-422.2114868164062,180.7161712646484,327.7278137207031,322.7366333007812,40.39142227172852,107946.397255125,2.898366308207215,-3.036647497299032,1.484924430207333,0.007229669950902462,0.145295575261116,0.06232120841741562,0.03571805730462074,0.01084142923355103,-0.01185691356658936,XArbitraryCorrectedZVertical,0.7346605620631659,-0.05406320751570101,-0.04354873969410657,0.6748739185721458,-0.008984614163637161,-0.9963153004646301,0.08529794216156006,59.30029296875,-422.6016845703125,180.9407501220703,-1,2,my_iOS_device,0
2026-01-15T14:06:43.508+02:00,10,1768478803.000351,32.06763947234855,34.76256955492133,6.699205,0.0391482,1.326404,197.4723116310613,180,3.811306989658655,4.468859597402696,-9999,1768478803.502623,58.74005126953125,-422.7811889648438,180.1946716308594,327.3094177246094,322.3182373046875,40.41642379760742,107946.4972489167,2.884383337685623,-3.016018545075581,1.487331242039623,0.0310380831360817,0.09228475391864777,0.01955095119774342,0.0408831350505352,-0.002794742584228516,-0.01316487789154053,XArbitraryCorrectedZVertical,0.7339246376987514,-0.05207814899834329,-0.04085410750099196,0.6759982891332292,-0.0104418070986867,-0.9965187907218933,0.08271501213312149,58.81793212890625,-422.676025390625,180.4453277587891,-1,2,my_iOS_device,0
